,f1,f2
A,0.037580959498882294,0.010556608438491821
AAPL,0.038433633744716644,0.011924490332603455
ABBV,0.03713362663984299,0.0098709836602211
ABT,0.0379704013466835,0.011079221963882446
ACGL,0.038217030465602875,0.011573180556297302
ACN,0.037582769989967346,0.010934896767139435
ADBE,0.038090385496616364,0.011469244956970215
ADI,0.0383465513586998,0.011942051351070404
ADM,0.03795471787452698,0.011315472424030304
ADP,0.03778538852930069,0.010991305112838745
ADSK,0.037434644997119904,0.010538361966609955
AEE,0.03736456483602524,0.010309077799320221
AEP,0.03754550963640213,0.010484129190444946
AES,0.037546128034591675,0.010653212666511536
AFL,0.037975214421749115,0.011369749903678894
AIG,0.03798742592334747,0.011417999863624573
AIZ,0.03738103806972504,0.0104743093252182
AJG,0.03818321228027344,0.011538654565811157
AKAM,0.03744145482778549,0.010429829359054565
ALB,0.03774847090244293,0.01088906079530716
ALGN,0.03900288790464401,0.013401389122009277
ALL,0.037387698888778687,0.010348930954933167
ALLE,0.03825502097606659,0.011761322617530823
AMAT,0.038466982543468475,0.012335613369941711
AMCR,0.037375278770923615,0.010366581380367279
AMD,0.037069737911224365,0.010558046400547028
AME,0.03837326914072037,0.011836037039756775
AMGN,0.03717232495546341,0.009931668639183044
AMP,0.0382588729262352,0.011834509670734406
AMT,0.037944987416267395,0.011382542550563812
AMZN,0.038120925426483154,0.011278003454208374
ANET,0.037984177470207214,0.012383788824081421
AON,0.03847502917051315,0.012038491666316986
AOS,0.03826332092285156,0.011826679110527039
APA,0.03786005079746246,0.011388987302780151
APD,0.03826722502708435,0.011854514479637146
APH,0.03848620504140854,0.01232939213514328
APO,0.03825416415929794,0.012067973613739014
APTV,0.03815943002700806,0.011766351759433746
ARE,0.037450097501277924,0.010799206793308258
ATO,0.037632718682289124,0.010662063956260681
AVB,0.037852346897125244,0.011361613869667053
AVGO,0.03823256492614746,0.012208335101604462
AVY,0.03790850192308426,0.011125415563583374
AWK,0.03699549287557602,0.00968267023563385
AXON,0.03749632090330124,0.01081133633852005
AXP,0.0380588173866272,0.01144178956747055
AZO,0.03784455358982086,0.011113777756690979
BA,0.037428997457027435,0.010652154684066772
BAC,0.0376221239566803,0.010877743363380432
BALL,0.038079701364040375,0.011825203895568848
BAX,0.03801354765892029,0.01123519241809845
BBY,0.03839220106601715,0.011903978884220123
BDX,0.038102708756923676,0.011388249695301056
BEN,0.03794656693935394,0.01149972528219223
BF-B,0.038054920732975006,0.01128869503736496
BG,0.03750539571046829,0.010435640811920166
BIIB,0.03691481798887253,0.009719274938106537
BK,0.03792261332273483,0.011324845254421234
BKNG,0.03799638897180557,0.011234432458877563
BKR,0.038407787680625916,0.012246295809745789
BLDR,0.039057426154613495,0.013278074562549591
BLK,0.037644967436790466,0.010701783001422882
BMY,0.03708980977535248,0.009805738925933838
BR,0.03837261348962784,0.011998251080513
BRK-B,0.03785669058561325,0.010946609079837799
BRO,0.03833213448524475,0.011767849326133728
BSX,0.03773646056652069,0.010756880044937134
BX,0.038258396089076996,0.012022323906421661
BXP,0.03854256868362427,0.013859741389751434
C,0.03715949505567551,0.010029122233390808
CAG,0.03710369020700455,0.009823016822338104
CAH,0.03842926025390625,0.011879228055477142
CAT,0.038220591843128204,0.01191478967666626
CB,0.037427790462970734,0.010267786681652069
CBOE,0.03773456811904907,0.010809384286403656
CBRE,0.038268834352493286,0.012255951762199402
CCI,0.0377429723739624,0.01109292358160019
CCL,0.03978867083787918,0.019323259592056274
CDNS,0.03791508823633194,0.011352822184562683
CDW,0.03823307156562805,0.0116305872797966
CF,0.03746453672647476,0.010384909808635712
CFG,0.037082381546497345,0.010189041495323181
CHD,0.03827518969774246,0.011627197265625
CHRW,0.03773219883441925,0.011212758719921112
CHTR,0.038685716688632965,0.014144785702228546
CI,0.03828447312116623,0.011575333774089813
CINF,0.037215858697891235,0.010204903781414032
CL,0.03749781847000122,0.010372385382652283
CLX,0.03772581368684769,0.01077820360660553
CMCSA,0.038010984659194946,0.011366546154022217
CME,0.03774876147508621,0.010830245912075043
CMG,0.0382893905043602,0.01181495189666748
CMI,0.03855404257774353,0.012366481125354767
CMS,0.037287674844264984,0.010168381035327911
CNC,0.03777632862329483,0.010904565453529358
CNP,0.03774707764387131,0.01086781919002533
COF,0.03774090111255646,0.010968975722789764
COO,0.03827105462551117,0.011665455996990204
COP,0.03769944608211517,0.010926611721515656
COR,0.038433343172073364,0.011813923716545105
COST,0.03811804950237274,0.011360794305801392
CPAY,0.038309767842292786,0.01194906234741211
CPB,0.037052400410175323,0.00989464670419693
CPRT,0.038182489573955536,0.011444628238677979
CPT,0.03742790222167969,0.010659269988536835
CRL,0.03791423141956329,0.011059872806072235
CRM,0.037507086992263794,0.010415568947792053
CSCO,0.03789252042770386,0.01116761565208435
CSGP,0.038513265550136566,0.011979110538959503
CSX,0.03825902193784714,0.011740073561668396
CTAS,0.03800177574157715,0.011262796819210052
CTRA,0.038025155663490295,0.011917389929294586
CTSH,0.03802906721830368,0.011678807437419891
CVS,0.03741815686225891,0.010324440896511078
CVX,0.037774696946144104,0.011098317801952362
CZR,0.03843897581100464,0.014058664441108704
D,0.03732695430517197,0.010210193693637848
DAL,0.03950507193803787,0.014928191900253296
DD,0.038110263645648956,0.01173650473356247
DE,0.03789199888706207,0.01101326197385788
DECK,0.03841634839773178,0.011998310685157776
DELL,0.038952313363552094,0.013024389743804932
DG,0.03742968291044235,0.010588064789772034
DGX,0.03775116801261902,0.010696694254875183
DHI,0.038239985704422,0.011464022099971771
DHR,0.03767029196023941,0.010649271309375763
DIS,0.03737611323595047,0.010332703590393066
DLR,0.03882880508899689,0.013429947197437286
DLTR,0.037929318845272064,0.011082924902439117
DOC,0.03749273717403412,0.010905690491199493
DOV,0.03804588317871094,0.011601366102695465
DPZ,0.03840012103319168,0.012543149292469025
DRI,0.03796534985303879,0.011307552456855774
DTE,0.03731965273618698,0.010200142860412598
DUK,0.03729698061943054,0.010134696960449219
DVA,0.03804055601358414,0.011298872530460358
DVN,0.037427984178066254,0.010555796325206757
DXCM,0.037815868854522705,0.010950759053230286
EA,0.03793409466743469,0.011240638792514801
EBAY,0.03763808310031891,0.010833784937858582
ECL,0.038292646408081055,0.011880330741405487
ED,0.03716972470283508,0.009944818913936615
EFX,0.0383562371134758,0.012016311287879944
EG,0.03714785724878311,0.009898334741592407
EIX,0.037771254777908325,0.010962732136249542
EL,0.037513695657253265,0.011185996234416962
ELV,0.03712601214647293,0.009916156530380249
EMN,0.038064733147621155,0.011916011571884155
EMR,0.03839763253927231,0.01194741576910019
ENPH,0.036992378532886505,0.010911606252193451
EOG,0.03790377080440521,0.01183958351612091
EPAM,0.03761371225118637,0.01130858063697815
EQIX,0.0381103977560997,0.011748433113098145
EQR,0.037899285554885864,0.011659719049930573
EQT,0.038523025810718536,0.012234270572662354
ERIE,0.037071533501148224,0.009817667305469513
ES,0.037571169435977936,0.010615333914756775
ESS,0.03791763633489609,0.011831708252429962
ETN,0.03845909237861633,0.011917933821678162
ETR,0.037104591727256775,0.009959563612937927
EVRG,0.037537410855293274,0.01058369129896164
EW,0.038414157927036285,0.012146644294261932
EXC,0.037708133459091187,0.010830260813236237
EXPD,0.03821514546871185,0.011951655149459839
EXPE,0.03817080706357956,0.011744655668735504
EXR,0.038046665489673615,0.011528611183166504
F,0.03888734430074692,0.013370968401432037
FANG,0.03789918124675751,0.01134151965379715
FAST,0.03834491968154907,0.011783801019191742
FCX,0.03816729784011841,0.011737175285816193
FDS,0.037375904619693756,0.010522931814193726
FDX,0.03869800269603729,0.012702755630016327
