,weight
OXY,0.17528178529564112
EQT,0.16793763040573853
DVN,0.1443108438712
MOS,0.08543835585467152
DLTR,0.07669157400674292
FANG,0.06653934694305652
CTRA,0.06298060859748474
BKR,0.05161828240904709
APA,0.045478741333053636
MCK,0.04088454736544833
SMCI,0.03262183094186657
ALB,0.02730318017481815
CF,0.02291327280123077
WRB,0.0
BF-B,0.0
KO,0.0
AZO,0.0
WMB,0.0
GIS,0.0
LW,0.0
PSX,0.0
JNJ,0.0
ED,0.0
FDX,0.0
GPC,0.0
MTB,0.0
STZ,0.0
XOM,0.0
ADM,0.0
TRGP,0.0
PGR,0.0
HUM,0.0
EXC,0.0
PKG,0.0
ENPH,0.0
TSN,0.0
KMB,0.0
AEP,0.0
O,0.0
SRE,0.0
LDOS,0.0
ELV,0.0
MPC,0.0
JKHY,0.0
CL,0.0
COR,0.0
AIZ,0.0
TPL,0.0
DG,0.0
BMY,0.0
T,0.0
MRK,0.0
EOG,0.0
COP,0.0
K,0.0
HAL,0.0
MNST,0.0
NOC,0.0
CVX,0.0
PM,0.0
CI,0.0
TMUS,0.0
IBM,0.0
LLY,0.0
LMT,0.0
VRTX,0.0
CPB,0.0
SYY,0.0
HII,0.0
AMCR,0.0
ULTA,0.0
TKO,0.0
HSY,0.0
VST,0.0
VLO,0.0
AMGN,0.0
TAP,0.0
SLB,0.0
EA,0.0
RTX,0.0
