,weight
FSLR,0.08210020767064576
ENPH,0.0626250895290823
CAH,0.062350991284182346
EPAM,0.061347214366968876
SMCI,0.05682629451189635
WRB,0.05659022589978366
ERIE,0.0564720921759847
EQT,0.05425306729534355
LW,0.05332387660148802
CSGP,0.053070279645004055
ALB,0.0519277659504961
DECK,0.05103994858523608
PWR,0.0494459656891245
ON,0.04343049338587071
PODD,0.04177493604551419
LULU,0.040731851340469125
TSLA,0.036267383466904765
TTD,0.03433965081235843
AVGO,0.03290340842633048
DLTR,0.019179257317316147
