Period,Start,End,Num_Strategies,Num_Dates
20220401_to_20220701,2022-04-01,2022-07-01,88,13
20220701_to_20221001,2022-07-01,2022-10-01,88,11
20221001_to_20230101,2022-10-01,2023-01-01,88,12
20230101_to_20230401,2023-01-01,2023-04-01,88,13
20230401_to_20230701,2023-04-01,2023-07-01,88,10
20230701_to_20231001,2023-07-01,2023-10-01,88,11
20231001_to_20240101,2023-10-01,2024-01-01,88,12
20240101_to_20240401,2024-01-01,2024-04-01,88,13
20240401_to_20240701,2024-04-01,2024-07-01,88,10
20240701_to_20241001,2024-07-01,2024-10-01,88,11
20241001_to_20250101,2024-10-01,2025-01-01,88,12
20250101_to_20250401,2025-01-01,2025-04-01,88,13
20250401_to_20250701,2025-04-01,2025-07-01,88,10
20250701_to_20250829,2025-07-01,2025-08-29,88,6
