,Rank,Strategy,Final_Value,Total_Return_%
0,1,RBF_DivMom_0.6_0.4_0.0,1.4163026486098833,41.63026486098833
1,2,RBF_DivMom_0.7_0.3_0.0,1.4162436940039358,41.624369400393576
2,3,RBF_DivMom_0.5_0.5_0.0,1.4161089595872747,41.61089595872747
3,4,RBF_DivMom_0.8_0.2_0.0,1.4159318121877291,41.59318121877291
4,5,RBF_DivMom_0.4_0.6_0.0,1.4156630311123837,41.56630311123837
5,6,RBF_DivMom_0.9_0.1_0.0,1.4153668405703745,41.536684057037455
6,7,RBF_DivMom_0.3_0.7_0.0,1.414965387473291,41.496538747329105
7,8,RBF_DivMom_1.0_0.0_0.0,1.4145487378608501,41.45487378608501
8,9,RBF_DivMom_0.2_0.8_0.0,1.4140166725011043,41.40166725011043
9,10,RBF_DivMom_0.1_0.9_0.0,1.4128176489158508,41.281764891585084
10,11,RBF_DivMom_1.0_0.0_0.3,1.412473618578154,41.24736185781539
11,12,RBF_DivMom_0.9_0.1_0.3,1.4115151487639772,41.15151487639772
12,13,RBF_DivMom_0.0_1.0_0.0,1.4113691975878209,41.136919758782085
13,14,RBF_DivMom_0.8_0.2_0.3,1.410265984376649,41.026598437664894
14,15,RBF_DivMom_0.7_0.3_0.3,1.4087270816139679,40.87270816139679
15,16,RBF_DivMom_0.6_0.4_0.3,1.406899555404235,40.6899555404235
16,17,RBF_DivMom_0.5_0.5_0.3,1.4047846782534956,40.47846782534956
17,18,RBF_DivMom_0.4_0.6_0.3,1.4023838789644807,40.23838789644807
18,19,RBF_DivMom_0.3_0.7_0.3,1.399698741228953,39.9698741228953
19,20,RBF_DivMom_0.2_0.8_0.3,1.3967310020950983,39.673100209509826
20,21,RBF_DivMom_0.1_0.9_0.3,1.3934825503118238,39.348255031182376
21,22,RBF_DivMom_0.0_1.0_0.3,1.3899554245520125,38.995542455201246
22,23,RBF_DivMom_1.0_0.0_0.45,1.3830884561075663,38.30884561075663
23,24,RBF_DivMom_0.9_0.1_0.45,1.37320573605081,37.32057360508101
24,25,RBF_DivMom_0.0_1.0_0.15,1.369467867819974,36.94678678199741
25,26,RBF_DivMom_0.1_0.9_0.15,1.3692112863690427,36.921128636904264
26,27,RBF_DivMom_0.2_0.8_0.15,1.3687031294328786,36.870312943287864
27,28,RBF_DivMom_0.3_0.7_0.15,1.3679434167852984,36.79434167852984
28,29,RBF_DivMom_0.4_0.6_0.15,1.3669322932519539,36.69322932519539
29,30,RBF_DivMom_0.5_0.5_0.15,1.3656700287607948,36.56700287607948
30,31,RBF_DivMom_0.6_0.4_0.15,1.3641570182983613,36.41570182983613
31,32,RBF_DivMom_0.8_0.2_0.45,1.3630398011401412,36.303980114014124
32,33,RBF_DivMom_0.7_0.3_0.15,1.3623937817717604,36.23937817717604
33,34,RBF_DivMom_0.8_0.2_0.15,1.3603809637762987,36.03809637762987
34,35,RBF_DivMom_0.9_0.1_0.15,1.3581193332689032,35.81193332689032
35,36,RBF_DivMom_1.0_0.0_0.15,1.3556097831474867,35.56097831474867
