Period,Metric,CAGR,Vol,Sharpe,MaxDD
20220401_to_20220701,RBF_DivMom_0.0_1.0_0.0 (excess),-0.5558,0.4382,-1.6251,-0.205
20220401_to_20220701,RBF_DivMom_0.0_1.0_0.15 (excess),-0.5509,0.437,-1.6057,-0.2031
20220401_to_20220701,RBF_DivMom_0.0_1.0_0.3 (excess),-0.6106,0.4291,-1.9707,-0.231
20220401_to_20220701,RBF_DivMom_0.0_1.0_0.45 (excess),-0.6318,0.441,-2.0315,-0.2417
20220401_to_20220701,RBF_DivMom_0.0_1.0_0.6 (excess),-0.6744,0.4579,-2.2038,-0.2672
20220401_to_20220701,RBF_DivMom_0.0_1.0_0.75 (excess),-0.7647,0.5384,-2.3872,-0.3248
20220401_to_20220701,RBF_DivMom_0.0_1.0_0.9 (excess),-0.7779,0.5694,-2.3253,-0.3433
20220401_to_20220701,RBF_DivMom_0.0_1.0_1.0 (excess),335.8758,12.4355,-2.0573,-5.0979
20220401_to_20220701,RBF_DivMom_0.1_0.9_0.0 (excess),-0.5467,0.4326,-1.6054,-0.2007
20220401_to_20220701,RBF_DivMom_0.1_0.9_0.15 (excess),-0.5405,0.4314,-1.5801,-0.1986
20220401_to_20220701,RBF_DivMom_0.1_0.9_0.3 (excess),-0.6018,0.4223,-1.9573,-0.2265
20220401_to_20220701,RBF_DivMom_0.1_0.9_0.45 (excess),-0.6223,0.4337,-2.0155,-0.2366
20220401_to_20220701,RBF_DivMom_0.1_0.9_0.6 (excess),-0.6629,0.4462,-2.1972,-0.2603
20220401_to_20220701,RBF_DivMom_0.1_0.9_0.75 (excess),-0.7503,0.5168,-2.3976,-0.3142
20220401_to_20220701,RBF_DivMom_0.1_0.9_0.9 (excess),-0.7621,0.5426,-2.3451,-0.3306
20220401_to_20220701,RBF_DivMom_0.1_0.9_1.0 (excess),197.1817,11.1816,-2.0662,-4.5962
20220401_to_20220701,RBF_DivMom_0.2_0.8_0.0 (excess),-0.5374,0.4271,-1.5848,-0.1985
20220401_to_20220701,RBF_DivMom_0.2_0.8_0.15 (excess),-0.5299,0.4258,-1.5533,-0.1964
20220401_to_20220701,RBF_DivMom_0.2_0.8_0.3 (excess),-0.593,0.4158,-1.9425,-0.2221
20220401_to_20220701,RBF_DivMom_0.2_0.8_0.45 (excess),-0.6126,0.4266,-1.9974,-0.2316
20220401_to_20220701,RBF_DivMom_0.2_0.8_0.6 (excess),-0.6511,0.4351,-2.1873,-0.2534
20220401_to_20220701,RBF_DivMom_0.2_0.8_0.75 (excess),-0.7354,0.4964,-2.4029,-0.3036
20220401_to_20220701,RBF_DivMom_0.2_0.8_0.9 (excess),-0.7456,0.5172,-2.3604,-0.3179
20220401_to_20220701,RBF_DivMom_0.2_0.8_1.0 (excess),107.1359,9.9279,-2.0773,-4.0971
20220401_to_20220701,RBF_DivMom_0.3_0.7_0.0 (excess),-0.528,0.4217,-1.5633,-0.1966
20220401_to_20220701,RBF_DivMom_0.3_0.7_0.15 (excess),-0.5191,0.4204,-1.5254,-0.1943
20220401_to_20220701,RBF_DivMom_0.3_0.7_0.3 (excess),-0.5839,0.4094,-1.9262,-0.2176
20220401_to_20220701,RBF_DivMom_0.3_0.7_0.45 (excess),-0.6028,0.4199,-1.977,-0.2266
20220401_to_20220701,RBF_DivMom_0.3_0.7_0.6 (excess),-0.6391,0.4245,-2.1737,-0.2465
20220401_to_20220701,RBF_DivMom_0.3_0.7_0.75 (excess),-0.72,0.4774,-2.4015,-0.293
20220401_to_20220701,RBF_DivMom_0.3_0.7_0.9 (excess),-0.7285,0.4934,-2.3693,-0.3053
20220401_to_20220701,RBF_DivMom_0.3_0.7_1.0 (excess),52.3314,8.6745,-2.0916,-3.6008
20220401_to_20220701,RBF_DivMom_0.4_0.6_0.0 (excess),-0.5184,0.4164,-1.5409,-0.1947
20220401_to_20220701,RBF_DivMom_0.4_0.6_0.15 (excess),-0.5081,0.4151,-1.4963,-0.1922
20220401_to_20220701,RBF_DivMom_0.4_0.6_0.3 (excess),-0.5747,0.4033,-1.9082,-0.2132
20220401_to_20220701,RBF_DivMom_0.4_0.6_0.45 (excess),-0.5927,0.4136,-1.9543,-0.2216
20220401_to_20220701,RBF_DivMom_0.4_0.6_0.6 (excess),-0.6269,0.4147,-2.1559,-0.2396
20220401_to_20220701,RBF_DivMom_0.4_0.6_0.75 (excess),-0.704,0.46,-2.3918,-0.2825
20220401_to_20220701,RBF_DivMom_0.4_0.6_0.9 (excess),-0.7106,0.4716,-2.3696,-0.2927
20220401_to_20220701,RBF_DivMom_0.4_0.6_1.0 (excess),21.7969,7.4213,-2.1107,-3.1074
20220401_to_20220701,RBF_DivMom_0.5_0.5_0.0 (excess),-0.5087,0.4112,-1.5174,-0.1928
20220401_to_20220701,RBF_DivMom_0.5_0.5_0.15 (excess),-0.4968,0.4099,-1.4661,-0.1901
20220401_to_20220701,RBF_DivMom_0.5_0.5_0.3 (excess),-0.5654,0.3974,-1.8886,-0.21
20220401_to_20220701,RBF_DivMom_0.5_0.5_0.45 (excess),-0.5825,0.4077,-1.9291,-0.2166
20220401_to_20220701,RBF_DivMom_0.5_0.5_0.6 (excess),-0.6143,0.4055,-2.1335,-0.2328
20220401_to_20220701,RBF_DivMom_0.5_0.5_0.75 (excess),-0.6874,0.4444,-2.3719,-0.272
20220401_to_20220701,RBF_DivMom_0.5_0.5_0.9 (excess),-0.6921,0.4519,-2.3584,-0.2801
20220401_to_20220701,RBF_DivMom_0.5_0.5_1.0 (excess),6.8333,6.1686,-2.1373,-2.6169
20220401_to_20220701,RBF_DivMom_0.6_0.4_0.0 (excess),-0.4988,0.4061,-1.493,-0.1909
20220401_to_20220701,RBF_DivMom_0.6_0.4_0.15 (excess),-0.4854,0.4049,-1.4346,-0.1879
20220401_to_20220701,RBF_DivMom_0.6_0.4_0.3 (excess),-0.556,0.3918,-1.8672,-0.2092
20220401_to_20220701,RBF_DivMom_0.6_0.4_0.45 (excess),-0.5722,0.4022,-1.9012,-0.2124
20220401_to_20220701,RBF_DivMom_0.6_0.4_0.6 (excess),-0.6015,0.3972,-2.1059,-0.226
20220401_to_20220701,RBF_DivMom_0.6_0.4_0.75 (excess),-0.6703,0.4307,-2.3398,-0.2616
20220401_to_20220701,RBF_DivMom_0.6_0.4_0.9 (excess),-0.673,0.4347,-2.3329,-0.2676
20220401_to_20220701,RBF_DivMom_0.6_0.4_1.0 (excess),0.849,4.9168,-2.1771,-2.1294
20220401_to_20220701,RBF_DivMom_0.7_0.3_0.0 (excess),-0.4887,0.4012,-1.4675,-0.1891
20220401_to_20220701,RBF_DivMom_0.7_0.3_0.15 (excess),-0.4737,0.4,-1.4019,-0.1858
20220401_to_20220701,RBF_DivMom_0.7_0.3_0.3 (excess),-0.5464,0.3864,-1.8439,-0.2083
20220401_to_20220701,RBF_DivMom_0.7_0.3_0.45 (excess),-0.5617,0.397,-1.8705,-0.2121
20220401_to_20220701,RBF_DivMom_0.7_0.3_0.6 (excess),-0.5885,0.3896,-2.0729,-0.2191
