,weight
CNC,0.2778717185070946
CAG,0.10823833302341739
CLX,0.07289585634109252
BDX,0.0695523090016631
COO,0.05948043526961574
BF-B,0.05926440506454134
ACN,0.05115403774581696
ARE,0.04340497366066474
BG,0.04069723303930948
ACGL,0.04050972760874743
BIIB,0.037731836640961997
BAX,0.03482817451709183
AJG,0.03475842735783372
COP,0.02782643300155836
CHRW,0.022474138459641704
APA,0.017708369241973408
ALGN,0.01642029894176467
ADSK,0.005007982687257719
CHTR,-0.0031669249614950075
ALB,-0.01665776514855163
