,weight
CNC,0.3510645384338449
APA,0.2109601752183258
BIIB,0.18849492359415873
ALGN,0.10121434490056876
COO,0.08185207064623577
ARE,0.06641394720686611
AME,0.0
CDW,0.0
BSX,0.0
ABBV,0.0
AMGN,0.0
AOS,0.0
AZO,0.0
APD,0.0
APO,0.0
CNP,0.0
AIG,0.0
AEP,0.0
BXP,0.0
ATO,0.0
CMG,0.0
CCI,0.0
CME,0.0
ADSK,0.0
CF,0.0
AMZN,0.0
BALL,0.0
BX,0.0
BAC,0.0
CBRE,0.0
ALB,0.0
CBOE,0.0
AXP,0.0
AWK,0.0
CDNS,0.0
CHTR,0.0
CINF,0.0
CMI,0.0
AMP,0.0
AMT,0.0
ADM,0.0
AEE,0.0
CMS,0.0
BR,0.0
AIZ,0.0
AFL,0.0
BRK-B,0.0
ACGL,0.0
BBY,0.0
CI,0.0
BAX,0.0
CL,0.0
BRO,0.0
BG,0.0
CHD,0.0
ACN,0.0
BMY,0.0
CLX,0.0
BF-B,0.0
BDX,0.0
COP,0.0
BLDR,0.0
ADP,0.0
BKR,0.0
CAG,0.0
ALL,0.0
CHRW,0.0
AMCR,0.0
AVY,0.0
AJG,0.0
ABT,0.0
CB,0.0
AAPL,0.0
AON,0.0
CMCSA,0.0
AKAM,0.0
ADBE,0.0
AVB,0.0
A,0.0
ALLE,0.0
